path,k,#suppressed,avg class size,min class size,max class size,#eqs,total gen level,precision,granularity/loss,non-uniform entropy,squared error,discernibility,ambiguity,record-level squared error,gender gen level,age gen level,smoking_status gen level,ZIP gen level
../output/patients/arx_stats/Anonymized/0/1_5_0_1.csv,5.0,14500.0,8.1641891892,5.0,47.0,1480.0,7.0,0.2045423767,0.2279006768,0.2558715759,0.4686494544,0.4543775871,0.4544750303,0.1137303626,1.0,5.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/0_2_2_2.csv,5.0,16351.0,7.0907830908,5.0,33.0,1443.0,6.0,0.2116992063,0.2969727146,0.2239103899,0.3952045875,0.3848025345,0.3848739551,0.2207027128,0.0,2.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/0_3_1_2.csv,5.0,14898.0,7.4855861627,5.0,39.0,1561.0,6.0,0.3165698002,0.4035988788,0.2546518864,0.4505128278,0.4394345651,0.4395359583,0.3817591987,0.0,3.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/0_3_0_3.csv,5.0,1920.0,17.1270833333,5.0,92.0,1440.0,6.0,0.6494413723,0.8711044667,0.4502910927,0.9289604375,0.9268544179,0.9275042291,0.8222142603,0.0,3.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/1_5_1_0.csv,5.0,25057.0,5.6728624535,5.0,10.0,269.0,7.0,0.0281476884,0.0283430626,0.0354088711,0.0627437301,0.0573946144,0.0574036278,0.0146839335,1.0,5.0,1.0,0.0
../output/patients/arx_stats/Anonymized/0/1_4_2_0.csv,5.0,25581.0,5.6292134831,5.0,11.0,178.0,7.0,0.0113079788,0.0181467839,0.023511242,0.042608261,0.0376864446,0.0376921793,0.008899262,1.0,4.0,2.0,0.0
../output/patients/arx_stats/Anonymized/0/0_3_0_4.csv,5.0,86.0,99.2397003745,5.0,388.0,267.0,7.0,0.6478971523,0.9082571461,0.3461486285,0.9853367489,0.9895757192,0.99443558,0.8712817513,0.0,3.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/1_3_0_3.csv,5.0,780.0,27.9859002169,5.0,143.0,922.0,7.0,0.4367960727,0.7166947288,0.4295943414,0.9702448116,0.9689207643,0.9698229676,0.3967532921,1.0,3.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/0_5_1_0.csv,5.0,26219.0,5.4328358209,5.0,8.0,67.0,6.0,0.0102132942,0.009568548,0.0086327133,0.0154707033,0.0136906394,0.0136928495,0.0084850932,0.0,5.0,1.0,0.0
../output/patients/arx_stats/Anonymized/0/1_3_0_4.csv,5.0,18.0,184.4791666667,5.0,643.0,144.0,8.0,0.3997291502,0.7101316136,0.3023731311,0.9878060242,0.9857609032,0.992320053,0.4066412873,1.0,3.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/0_4_2_0.csv,5.0,26372.0,5.4102564103,5.0,7.0,39.0,6.0,0.004365572,0.0054136208,0.0050769084,0.0091620289,0.007936073,0.007937328,0.0045486006,0.0,4.0,2.0,0.0
../output/patients/arx_stats/Anonymized/0/1_3_2_2.csv,5.0,3562.0,11.3515779093,5.0,83.0,2028.0,8.0,0.2165011473,0.4685378123,0.4474235104,0.8669919605,0.865488764,0.8656577207,0.2186905578,1.0,3.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/1_2_1_2.csv,5.0,15191.0,7.4022092268,5.0,27.0,1539.0,6.0,0.2222463605,0.3198555972,0.2491669598,0.4378746742,0.4284204672,0.4284983961,0.1766306866,1.0,2.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/1_2_1_5.csv,5.0,0.0,1476.8333333333,9.0,2822.0,18.0,9.0,0.3573223489,0.4371788655,0.182140856,3.18512e-05,0.9274857618,0.9552860362,0.2341101507,1.0,2.0,1.0,5.0
../output/patients/arx_stats/Anonymized/0/0_4_0_1.csv,5.0,23765.0,6.1663019694,5.0,20.0,457.0,5.0,0.0795056991,0.0935525024,0.0639203707,0.1108078162,0.1059846803,0.1060051089,0.0872456725,0.0,4.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/1_3_2_5.csv,5.0,0.0,5316.6,525.0,8000.0,5.0,11.0,0.1,0.2407273856,0.0952135939,3.03509e-05,0.7544268458,0.800000064,0.1182830828,1.0,3.0,2.0,5.0
../output/patients/arx_stats/Anonymized/0/0_3_2_2.csv,5.0,9206.0,8.6281032771,5.0,60.0,2014.0,7.0,0.3268442238,0.4847532319,0.3613371588,0.6622977417,0.6534364263,0.6535905094,0.3634396276,0.0,3.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/0_2_1_2.csv,5.0,20910.0,6.4319727891,5.0,21.0,882.0,5.0,0.1653744875,0.2031522353,0.1287536343,0.2228726958,0.2133584543,0.2133987345,0.2002107076,0.0,2.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/1_0_0_1.csv,5.0,26578.0,5.0,5.0,5.0,1.0,2.0,0.0001316631,0.0001503295,0.000123624,0.0002573338,0.0001880619,0.0001880898,0.0001125856,1.0,0.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/0_2_1_5.csv,5.0,9.0,759.2571428571,5.0,1527.0,35.0,8.0,0.6071399014,0.6375876816,0.2267908175,3.18639e-05,0.9613327353,0.9847639421,0.5162544949,0.0,2.0,1.0,5.0
../output/patients/arx_stats/Anonymized/0/0_3_2_5.csv,5.0,5.0,2657.8,206.0,4765.0,10.0,10.0,0.3499341685,0.4412505297,0.1399066891,3.03706e-05,0.871875198,0.9331578572,0.3497418277,0.0,3.0,2.0,5.0
../output/patients/arx_stats/Anonymized/0/1_4_0_1.csv,5.0,20093.0,6.8532206969,5.0,27.0,947.0,6.0,0.1220704962,0.1664836623,0.1431939656,0.2554770855,0.2440779115,0.2441253399,0.0943053843,1.0,4.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/0_2_2_3.csv,5.0,709.0,18.3764204545,5.0,83.0,1408.0,7.0,0.4866644096,0.7479362269,0.4628380148,0.9719613059,0.9724493113,0.972908126,0.5462755992,0.0,2.0,2.0,3.0
../output/patients/arx_stats/Anonymized/0/0_3_1_3.csv,5.0,1032.0,20.6890688259,5.0,92.0,1235.0,7.0,0.633349321,0.8708275593,0.4537295513,0.9607994106,0.9601437466,0.960810311,0.8015183136,0.0,3.0,1.0,3.0
../output/patients/arx_stats/Anonymized/0/0_3_1_4.csv,5.0,16.0,135.5459183673,5.0,388.0,196.0,8.0,0.6069499304,0.876437769,0.3315126591,0.9880062047,0.991335143,0.996265801,0.8237420318,0.0,3.0,1.0,4.0
../output/patients/arx_stats/Anonymized/0/0_2_2_4.csv,5.0,5.0,147.6555555556,14.0,318.0,180.0,8.0,0.4499153594,0.7405648328,0.3340268039,0.9884168473,0.9929841071,0.9963088741,0.5589300851,0.0,2.0,2.0,4.0
../output/patients/arx_stats/Anonymized/0/1_5_0_0.csv,5.0,25153.0,5.6746031746,5.0,10.0,252.0,6.0,0.026896889,0.0269772411,0.0330474991,0.0587380577,0.0537839422,0.0537924903,0.0140097007,1.0,5.0,0.0,0.0
../output/patients/arx_stats/Anonymized/0/1_2_2_3.csv,5.0,201.0,33.5222363405,5.0,131.0,787.0,8.0,0.2481096942,0.5635632054,0.4274114506,0.9925897476,0.990751462,0.9911622665,0.2609883079,1.0,2.0,2.0,3.0
../output/patients/arx_stats/Anonymized/0/1_3_1_3.csv,5.0,484.0,36.2990264256,5.0,143.0,719.0,8.0,0.4005962457,0.6918602631,0.4201593122,0.981908656,0.9798335616,0.9806666289,0.3838778649,1.0,3.0,1.0,3.0
../output/patients/arx_stats/Anonymized/0/1_3_1_4.csv,5.0,0.0,265.83,12.0,643.0,100.0,9.0,0.3573223489,0.6763669362,0.2869674611,0.9885753505,0.984723131,0.9905979871,0.389152616,1.0,3.0,1.0,4.0
../output/patients/arx_stats/Anonymized/0/0_5_0_0.csv,5.0,26226.0,5.4090909091,5.0,8.0,66.0,5.0,0.0100722266,0.0094289452,0.0084775499,0.0151879848,0.0134273697,0.013429529,0.0083682021,0.0,5.0,0.0,0.0
../output/patients/arx_stats/Anonymized/0/1_2_2_4.csv,5.0,0.0,295.3666666667,32.0,558.0,90.0,9.0,0.2,0.5400973026,0.2893549368,0.9885767967,0.98689714,0.9894885247,0.2615293947,1.0,2.0,2.0,4.0
../output/patients/arx_stats/Anonymized/0/1_2_0_2.csv,5.0,16852.0,7.3831562974,5.0,27.0,1318.0,5.0,0.201333559,0.2824398585,0.2125373356,0.3747119534,0.3659544284,0.3660298737,0.1581048371,1.0,2.0,0.0,2.0
../output/patients/arx_stats/Anonymized/0/0_4_1_1.csv,5.0,23336.0,6.1033834586,5.0,20.0,532.0,6.0,0.0890888914,0.1057719842,0.0742729129,0.127519217,0.1221198355,0.1221423559,0.0970367302,0.0,4.0,1.0,1.0
../output/patients/arx_stats/Anonymized/0/0_1_2_1.csv,5.0,26490.0,5.1666666667,5.0,6.0,18.0,4.0,0.0022740097,0.0027539611,0.0022439592,0.0040069995,0.0034979256,0.0034984398,0.0021306472,0.0,1.0,2.0,1.0
../output/patients/arx_stats/Anonymized/0/1_2_0_5.csv,5.0,1.0,1022.3846153846,8.0,2822.0,26.0,8.0,0.3999849528,0.4714067294,0.197623431,3.18525e-05,0.9355270441,0.96663038,0.2475783582,1.0,2.0,0.0,5.0
../output/patients/arx_stats/Anonymized/0/0_5_2_1.csv,5.0,12961.0,7.8968115942,5.0,44.0,1725.0,8.0,0.230594741,0.2569272264,0.2923392713,0.5307232804,0.5122631323,0.5123600347,0.1879246619,0.0,5.0,2.0,1.0
../output/patients/arx_stats/Anonymized/0/0_2_0_2.csv,5.0,21726.0,6.493315508,5.0,21.0,748.0,4.0,0.146168604,0.1776087973,0.1096137071,0.1902390545,0.1826684553,0.1827049437,0.1803487123,0.0,2.0,0.0,2.0
../output/patients/arx_stats/Anonymized/0/1_1_2_1.csv,5.0,26006.0,5.4952380952,5.0,10.0,105.0,5.0,0.0086822405,0.0127323884,0.0136903589,0.0243189211,0.021701838,0.0217049596,0.0058497238,1.0,1.0,2.0,1.0
../output/patients/arx_stats/Anonymized/0/1_4_1_1.csv,5.0,19016.0,6.823264202,5.0,27.0,1109.0,7.0,0.1347571756,0.1880364335,0.1680839255,0.2969397699,0.2845830258,0.2846333291,0.1054492477,1.0,4.0,1.0,1.0
../output/patients/arx_stats/Anonymized/0/1_0_1_1.csv,5.0,26578.0,5.0,5.0,5.0,1.0,3.0,0.0001316631,0.0001503295,0.000123624,0.0002573338,0.0001880619,0.0001880898,0.0001125856,1.0,0.0,1.0,1.0
../output/patients/arx_stats/Anonymized/0/1_5_2_1.csv,5.0,6546.0,9.8997035573,5.0,73.0,2024.0,9.0,0.1507504796,0.2267266944,0.406937238,0.766450928,0.7533865263,0.7534721054,0.089905643,1.0,5.0,2.0,1.0
../output/patients/arx_stats/Anonymized/0/0_2_0_5.csv,5.0,9.0,521.0588235294,5.0,1527.0,51.0,7.0,0.6497799345,0.6718030939,0.2422622497,3.18669e-05,0.9654435426,0.9885541676,0.5366444314,0.0,2.0,0.0,5.0
../output/patients/arx_stats/Anonymized/0/1_1_0_3.csv,5.0,4345.0,11.0362282878,5.0,52.0,2015.0,5.0,0.460102321,0.6553088482,0.4426572144,0.8375439286,0.8361134038,0.8363629228,0.3557047074,1.0,1.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/1_5_0_3.csv,5.0,23.0,93.1929824561,5.0,490.0,285.0,9.0,0.3496971749,0.4972300321,0.3477487816,0.9988370263,0.9924248038,0.9948684223,0.2392027928,1.0,5.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/0_2_2_0.csv,5.0,26573.0,5.0,5.0,5.0,2.0,4.0,0.0002445172,0.0002905285,0.000257304,0.0004671422,0.0003761238,0.0003761794,0.000260826,0.0,2.0,2.0,0.0
../output/patients/arx_stats/Anonymized/0/1_5_0_4.csv,5.0,0.0,886.1,238.0,2236.0,30.0,10.0,0.3,0.4698851485,0.2072364423,0.9885450025,0.947807784,0.9649615621,0.2377272656,1.0,5.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/1_1_0_4.csv,5.0,46.0,58.8403547672,5.0,241.0,451.0,6.0,0.4991347854,0.7544393168,0.3909369239,0.9868122233,0.9947829575,0.9965206549,0.4186771159,1.0,1.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/0_3_1_0.csv,5.0,26573.0,5.0,5.0,5.0,2.0,4.0,0.000296242,0.000335807,0.0002628544,0.0005079723,0.0003761238,0.0003761794,0.000365524,0.0,3.0,1.0,0.0
../output/patients/arx_stats/Anonymized/0/0_1_0_3.csv,5.0,9669.0,8.3074656189,5.0,31.0,2036.0,4.0,0.509017041,0.6259644746,0.3589254905,0.6375374615,0.6360552115,0.6362222006,0.6333642996,0.0,1.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/0_5_0_3.csv,5.0,90.0,48.0816696915,5.0,310.0,551.0,8.0,0.5979686266,0.6958964164,0.3916058617,0.9964337617,0.9930905533,0.9951935761,0.5244020705,0.0,5.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/0_5_0_4.csv,5.0,5.0,442.9666666667,113.0,1375.0,60.0,9.0,0.5498965504,0.6703658849,0.2519130391,0.9883850578,0.9724099979,0.9881349371,0.5232685871,0.0,5.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/1_2_2_0.csv,5.0,26548.0,5.0,5.0,5.0,7.0,5.0,0.0005266524,0.0007527256,0.0008752336,0.0016194329,0.0013164332,0.0013166215,0.0003794713,1.0,2.0,2.0,0.0
../output/patients/arx_stats/Anonymized/0/1_3_1_0.csv,5.0,26535.0,5.3333333333,5.0,6.0,9.0,5.0,0.0010598879,0.0013213368,0.0012104469,0.0023904148,0.0018053686,0.0018056558,0.0008076897,1.0,3.0,1.0,0.0
../output/patients/arx_stats/Anonymized/0/0_1_0_4.csv,5.0,226.0,31.2286729858,5.0,128.0,844.0,5.0,0.7436237445,0.94818987,0.4327931984,0.9804268984,0.9896461268,0.9909187563,0.9370589014,0.0,1.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/0_1_2_2.csv,5.0,22111.0,6.1767955801,5.0,19.0,724.0,5.0,0.1009366889,0.1323058602,0.101216151,0.1751091619,0.1681919751,0.168219342,0.0989960389,0.0,1.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/0_4_1_2.csv,5.0,8464.0,9.0867602808,5.0,53.0,1994.0,7.0,0.4545310913,0.5830555357,0.3737864372,0.6906211837,0.681310818,0.681515878,0.5128378429,0.0,4.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/0_0_1_2.csv,5.0,26540.0,5.375,5.0,7.0,8.0,3.0,0.0014323064,0.0015973267,0.0011002516,0.0015710453,0.0016173039,0.0016175693,0.0016369727,0.0,0.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/0_5_2_2.csv,5.0,801.0,18.5348670022,5.0,148.0,1391.0,9.0,0.3879471843,0.4858521142,0.4553321149,0.9682397844,0.9687642776,0.9692570112,0.3401652902,0.0,5.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/1_2_0_1.csv,5.0,25842.0,5.6136363636,5.0,9.0,132.0,4.0,0.0167249746,0.0215237548,0.0173472785,0.0303235738,0.0278699424,0.0278744045,0.0123297789,1.0,2.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/0_0_1_5.csv,5.0,13.0,86.2662337662,5.0,363.0,308.0,6.0,0.7070120002,0.6645702395,0.3750541967,3.23011e-05,0.9954161864,0.9980216225,0.5196631773,0.0,0.0,1.0,5.0
../output/patients/arx_stats/Anonymized/0/0_5_2_5.csv,5.0,0.0,8861.0,5.0,15650.0,3.0,12.0,0.25,0.2006061546,0.0447048639,2.42e-08,0.484429789,0.66666672,0.1988202213,0.0,5.0,2.0,5.0
../output/patients/arx_stats/Anonymized/0/0_1_2_5.csv,5.0,5.0,781.7058823529,206.0,1259.0,34.0,8.0,0.4499153594,0.4863784248,0.2288540485,3.21947e-05,0.9671806604,0.9831484567,0.3601424297,0.0,1.0,2.0,5.0
../output/patients/arx_stats/Anonymized/0/0_4_1_5.csv,5.0,5.0,2214.8333333333,52.0,5585.0,12.0,10.0,0.5082251815,0.5486064796,0.1379479649,2.45426e-05,0.8549409984,0.9408603578,0.4632475909,0.0,4.0,1.0,5.0
../output/patients/arx_stats/Anonymized/0/1_4_1_2.csv,5.0,3595.0,12.2016985138,5.0,79.0,1884.0,8.0,0.3565634052,0.5631697889,0.4430286995,0.8666502506,0.8641800322,0.8644618689,0.3091698548,1.0,4.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/1_1_2_2.csv,5.0,16701.0,7.099137931,5.0,25.0,1392.0,6.0,0.1301094685,0.2178305165,0.2165510582,0.3812409227,0.3716422611,0.3716919738,0.0969783218,1.0,1.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/1_5_2_2.csv,5.0,151.0,32.9165628892,5.0,233.0,803.0,10.0,0.1491479517,0.2986448888,0.4210667739,0.9941163791,0.9921795521,0.9924750756,0.1167686086,1.0,5.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/1_0_1_2.csv,5.0,26340.0,5.5227272727,5.0,10.0,44.0,4.0,0.005824211,0.0072049182,0.0060455688,0.0099113771,0.0091395587,0.0091410788,0.0043344733,1.0,0.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/1_0_1_5.csv,5.0,0.0,171.5032258065,9.0,706.0,155.0,7.0,0.4573223489,0.4642606964,0.3304346402,3.22953e-05,0.9922788319,0.9955286757,0.2362986461,1.0,0.0,1.0,5.0
../output/patients/arx_stats/Anonymized/0/0_2_0_1.csv,5.0,26418.0,5.5,5.0,9.0,30.0,3.0,0.0052759282,0.0060378546,0.0039788659,0.0069250693,0.0062058753,0.0062069321,0.006312453,0.0,2.0,0.0,1.0
